;Title;Tags;Author;Text;Date
22;Mother among women caught selling young girls for sex;['THAILAND'];Wassayos Ngamkham;» Three women have been arrested on charges of enticing young teenage girls into providing sex services for money, one of them the mother of one of the girls.;2022-04-08
23;Pareena undeterred by 'political death penalty';['THAILAND'];Online Reporters;"» Disgraced and now former Palang Pracharath Party MP Pareena Kraikupt said she will continue her political activities, despite the Supreme Court delivering her the ""political death penalty"".";2022-04-08
24;VIDEO: This Week's Top Stories April 8;['VIDEO'];Gary Boyle;» This week: new Covid variants, arrival increases, Tangmo confession and sex video earning stats;2022-04-08
25;Pink Floyd release 1st new song in 28 yrs to aid Ukraine;['LIFE'];Kyodo News;"» British rock band Pink Floyd released their first new song in 28 years to support Ukraine on Friday, with proceeds from ""Hey Hey Rise Up"" going to relief organisations.";2022-04-08
26;UK says Russian forces have fully withdrawn from northern Ukraine;['WORLD'];Reuters;» LONDON: Russian forces have now fully withdrawn from northern Ukraine to Belarus and Russia, British military intelligence said on Friday.;2022-04-08
27;Booster shot drive in Khon Kaen;['THAILAND'];Chakrapan Natanri;» KHON KAEN: Elderly people, pregnant women and those with a chronic illness are being encouraged to get a booster shot against Covid-19 in 95 communities of Nakhon Khon Kaen Municipality ahead of the Songkran Festival, when people traditionally return to their hometowns for a family reunion.;2022-04-08
28;Consumer mood at 6-month low;['BUSINESS'];Reuters;» Consumer confidence dropped for a third straight month in March, hitting a six-month low, the University of the Thai Chamber of Commerce said on Friday.;2022-04-08
29;Upskilling Thailand’s human resources for the future of work;['BUSINESS'];;» As the global value chain sends businesses and consumers worldwide scrambling to keep pace with the Fourth Industrial Revolution (4IR) by deploying deep technologies such as big data and analytics, A.I., and the industrial internet of things, Thailand is gearing up its human resources to meet the fast-evolving needs of the business world with the new skills and global mind-set that will help them leverage technology-driven changes.;2022-04-08
30;War in Ukraine Sparks Global Scramble for Sunflower Oil;['BUSINESS'];Business;» Russia's invasion of Ukraine has sparked a global shortage of sunflower oil that has in turn pushed prices of other edible oils to record highs, hitting food makers and consumers already grappling with inflation.;2022-04-08
31;BTS may perform at South Korean president-elect Yoon Suk-yeol's inauguration;['LIFE'];;» SEOUL: South Korean president-elect Yoon Suk-yeol's transition team is reportedly planning to use K-pop to add glitz and glamour to his administration.;2022-04-08
32;Singapore jails Australian for hurling wine bottle, killing man;['WORLD'];Bloomberg News;» A Singapore court on Friday sentenced an Australian man to five and a half years in prison for killing an elderly Singaporean man and hurting his wife with a thrown wine bottle, in what the judge called an act of religious hostility toward Muslims.;2022-04-08
33;Thammasat Business School joins hands with eight business schools to enhance Thai business education;['THAILAND'];;» For the first time in Thailand’s history, Thammasat Business School (TBS), Thammasat University has signed a Memorandum of Understanding (MOU) with eight other leading Thai business schools to enable the building of a business school network in Thailand (Business School Network of Thailand: BSNT). This historic event, which took place at Thammasat University Tha Prachan Campus on 4 April 2022, consisted of nine representatives from nine leading Thai business schools coming together to show their solidarity in working together to shape and form the future of business management education in Thailand. The main goals of BSNT are to promote academic and research activities, to exchange knowledge and expertise among its members, to enhance the competence of Thai business schools, and to develop world-class academic personnel in Thailand, facilitating the development of the Thai economy in the future.;2022-04-08
34;Car crashes into house, driver killed;['THAILAND'];;» BURI RAM: A disaster prevention official died when the car he was driving ran off the road and crashed into the side of a house in Prakhon Chai district on Thursday night.;2022-04-08
35;Industry sentiment on 2-year high;['BUSINESS'];Business;» The Thailand Industry Sentiment Index (TISI) rose to 89.2 points in March, the highest in 25 months, while the mood in April should be improved by the Songkran festival, says the Federation of Thai Industries (FTI).;2022-04-08
36;Unlocking the keys to health and longevity;['THAILAND'];;» Four world renowned health specialists reveal the secrets of “Health Brings Wealth”;2022-04-08
37;France's Le Pen says 'so close' as election battle enters crucial stage;['WORLD'];AFP;"» PERPIGNAN (FRANCE) - French far-right presidential candidate Marine Le Pen said Thursday she had never been ""so close"" to power at a jubilant final rally before this weekend's election, which polls suggest is an increasingly tight battle between her and President Emmanuel Macron.";2022-04-08
38;THAI gets more planes;['EASY NEWS'];Gary Boyle;» Thai Airways International (THAI) will add three Boeing 777-300ERs to its fleet this month in order to meet the growing demand for flights, following relaxed travel restrictions.;2022-04-08
39;RT-PCR tests may be scrapped;['EASY NEWS'];Gary Boyle;» The government will on Friday consider scrapping mandatory RT-PCR tests for foreign visitors arriving in the country as it further eases entry rules to attract tourists.;2022-04-08
40;25,140 new Covid cases, 89 more deaths;['THAILAND'];Online Reporters;» The country registered 25,140 more Covid-19 cases and 89 new fatalities during the previous 24 hours, the Public Health Ministry announced on Friday morning.;2022-04-08
41;UN suspends Russia from human rights panel as Thailand, 57 others abstain;['WORLD'];Bloomberg News;» The United Nations General Assembly voted to suspend Russia from the UN Human Rights Council over its conduct in Ukraine, although dozens of nations abstained despite the Ukrainian ambassador’s pleadings to defend “the innocent lives lost” in the two-month war.;2022-04-08
42;At least two killed in Tel Aviv shooting;['WORLD'];AFP;» TEL AVIV - At least two people were killed Thursday and several wounded in a shooting spree in the Israeli coastal city of Tel Aviv, the latest in a surge of violence in Israel and the occupied West Bank since late March.;2022-04-08
43;Survey finds tepid Songkran;['BUSINESS'];Business;» Spending sentiment during the upcoming Songkran festival is expected to remain tepid, mainly because of a sharp rise in oil prices ignited by the Russia-Ukraine war and relatively high Covid-19 infections in the country.;2022-04-08
44;Six Thai stars reach quarters;['SPORTS'];Sports;» Ratchanok Intanon, Pornpawee Chochuwong, Busanan Ongbamrungphan and Kunlavut Vitidsarn moved into the quarter-finals of the US$360,000 Korea Open Championships in Suncheon on Thursday.;2022-04-08
45;Leased 777-300ERs to join THAI's fleet;['BUSINESS'];News;» Thai Airways International (THAI) will add three Boeing 777-300ERs to its fleet this month in order to meet the growing demand for flights, in light of the relaxed travel restrictions.;2022-04-08
46;TAT eyes B656bn from domestic travel;['BUSINESS'];Business;» Domestic tourism receipts for the first quarter this year are expected to tally 135 billion baht from 29.7 million trips, but the Tourism Authority of Thailand (TAT) is still aiming for 656 billion baht in revenue from the segment for the entire year.;2022-04-08
47;Merger review rejected;['BUSINESS'];Business;» A majority of National Broadcasting and Telecommunications Commission (NBTC) board members have shrugged off a request to seek the Council of State's deliberation as to whether the regulator has the power to consider approving the merger of True Corporation and Total Access Communication (Dtac).;2022-04-08
48;RT-PCR tests may be axed;['THAILAND'];News;» The government will on Friday consider scrapping mandatory RT-PCR tests for foreign visitors arriving in the country as it further eases entry rules to attract tourists.;2022-04-08
49;Prayut offers advice to city's next governor;['THAILAND'];News;» Prime Minister Prayut Chan-o-cha on Friday urged whoever became Bangkok's new governor after the May 22 election to carry on with the mission of developing the capital and resolving its problems.;2022-04-08
50;Return  of the Zip;['LIFE'];Life;» Van Cleef & Arpels fastened its reputation as a maker of transformable jewellery with the Zip, worn open as a necklace or closed as a bracelet, launched in 1950.;2022-04-08
51;Make taxes greener;['OPINION'];Oped;» For the first time since the land and building levy law was promulgated three years ago, the Prayut Chan-o-cha government has found it necessary to re-introduce the full tax rate, shunning calls by some business sectors that it extend the 90% cut.;2022-04-08
52;Indorama completes Oxiteno acquisition;['BUSINESS'];Business;» Indorama Ventures Plc (IVL), a global chemical company, has fully acquired a 100% stake in Brazil-based Oxiteno S.A. Indústria e Comércio.;2022-04-08
53;A marriage of artistry and simplicity;['LIFE'];Life;"» Last Sunday was one of the best weather days of 2022. With the temperature in the usually-scorching Bangkok dropping to 22C, it was a great reason to go out and enjoy a rare April ""chill"".";2022-04-08
54;DoE approves over 140,000 alien workers;['THAILAND'];News;» Applications for employment in Thailand have been approved for more than 140,000 migrant workers through a memorandum of understanding (MoU) signed with three neighbouring countries, according to the Department of Employment (DoE).;2022-04-08
55;Into the deep south;['TRAVEL'];Guru;» Boldly go where no ordinary traveller has gone before. Surely you owe it to yourself after two years of lockdowns and no-travel zones.;2022-04-08
56;Easter delights;['LIFE'];Guru;» We eat with our eyes before we indulge our palate and to whet your appetite, here is a small list of original Easter creations from around the world.;2022-04-08
57;Holiday high;['LIFE'];Guru;» Despite the ongoing pandemic and Covid being far from over, the world is slowly welcoming back travellers with little to no quarantine or tests required. As the Thai summer heats up with many looking to escape, Guru has compiled a list of countries that have opened their borders to tourists.;2022-04-08
58;Ban on new parties upheld for those shorn of rights;['THAILAND'];News;» The parliamentary committee scrutinising bills amending two election-related organic laws yesterday shot down a move to allow people whose election rights were revoked from setting up a political party.;2022-04-08
59;Immunity of 4th shot studied;['THAILAND'];News;» The Ministry of Public Health is studying how long immunity induced by a fourth shot of Covid-19 vaccine lasts, key information required before it decides when a fifth shot will be needed.;2022-04-08
60;MB&F bulldogs its way to the head of the pack;['LIFE'];Life;» MB&F and the British bulldog share a certain attribute -- the stubbornness that makes the horological concept laboratory blaze new trails in high-end watchmaking.;2022-04-08
61;Terracotta Warriors make a return to Japan;['LIFE'];Life;"» Those visiting Japan on business can visit the Kyoto National Museum of Japan to see the touring exhibition ""Terracotta Warriors And Ancient China – Legacy Of Qin And Han Civilizations"", which runs until May 22.";2022-04-08
62;Oversight due;['OPINION'];Oped;"» Re: ""'Temple swindler' assets to be investigated"", (BP, April 6).";2022-04-08
63;Firms eye routes to China;['THAILAND'];News;» The Federation of Thai Industries in Nakhon Phanom is working with related agencies and authorities in Laos to facilitate fruit exports to China, which have been significantly affected by the pandemic.;2022-04-08
64;Buriram kept waiting, Fandi fires four in Rabbits' victory;['SPORTS'];Sports;» Leaders Buriram United once again failed to wrap up the Thai League 1 title, this time letting a 10-man Chiang Rai United side rally to pull off a 1-1 tie on Wednesday night.;2022-04-08
65;'Little Giant' could prove a tough opponent for Brooks;['SPORTS'];Sports;» Second-ranked strawweight contender Jarred Brooks will face No.1-ranked Bokang Masunyane at One: Eersel vs Sadikovic in Singapore on April 22 to determine who is next in line for a shot at Joshua Pacio's strawweight world championship.;2022-04-08
66;Rethinking Election Posters;['OPINION'];Guru;"» The English idiom goes ""Don't judge a book by its cover"" but I'll say ""Let's judge candidates running for Bangkok governor by how they put up their posters"". It's a mouthful but I think it's a legitimate point to ponder.";2022-04-08
67;Man 'took cut' of temple funds;['THAILAND'];News;» Another disciple of late abbot Somdej Phra Wannarat of Wat Bowon Niwet Vihara is suspected of playing a hand in the embezzlement of 32 million baht of funds from two branch temples in Trat.;2022-04-08
68;Centara welcomes Riverside;['BUSINESS'];Business;» Centara Hotels & Resorts and Chiangmai Riverside Plaza Hotel Co have signed a hotel management agreement for the Centara Riverside Hotel Chiang Mai.;2022-04-08
69;'Doctor'  found with no degree;['THAILAND'];News;» Police arrested a fraudster posing as a qualified doctor at a clinic in Wang Thonglang district on Wednesday.;2022-04-08
70;Banks Weigh Using Zelle to Challenge Visa, Mastercard;['BUSINESS'];Business;» Banks are debating a plan to bring Zelle to the checkout at big retailers.;2022-04-08
71;Censure debate to take place 'before Aug 23';['THAILAND'];News;» The Pheu Thai Party and opposition leader Cholnan Srikaew said on Thursday a censure debate would take place before Aug 23 -- the date critics believe Prime Minister Prayut Chan-o-cha's eight-year term limit should technically end.;2022-04-08
72;SHR to invest B7.3bn to triple revenue by 2024;['BUSINESS'];Business;» SET-listed S Hotels & Resorts (SHR) will invest 7.3 billion baht to triple its revenue by 2024, starting with a target of 8.5 billion baht this year, driven by hotel operations in the UK and the Maldives.;2022-04-08
73;PPRP MP Pareena gets life politics ban;['THAILAND'];News;» The Supreme Court ruled on Thursday to ban Palang Pracharath (PPRP) MP Pareena Kraikupt from politics for life for occupying land in a forest reserve in her home province of Ratchaburi.;2022-04-08
74;Oishi banks on Biztoro restaurants;['BUSINESS'];Business;» Thailand's Japanese eatery chain Oishi announced the launch of Oishi Biztoro restaurants, offering modern Japanese cuisine in easily accessible locations such as petrol stations and community malls.;2022-04-08
75;Siwilai festival offers message of hope;['LIFE'];Life;» Siwilai ignited a flame of hope for positive energy and creativity through the Sawang Sawai Siwilai art festival, which served as an in-person community platform for local artists and cultural enthusiasts.;2022-04-08
76;Songkran Stays;['LIFE'];Guru;» Holidaycations to splash out on this Thai New Year.;2022-04-08
77;Piaget's precious;['LIFE'];Life;» Winner of the Ladies' Watch Prize at the Grand Prix d'Horlogerie de Genève 2021 Edition, the rose gold Limelight Gala Precious Rainbow stood out with green tsavorites and coloured sapphires as well as the signature Palace Décor on the dial and bracelet.;2022-04-08
78;Is struggling Sri Lanka salvageable?;['OPINION'];Oped;» Last Sunday -- with two notable exceptions -- Sri Lanka's cabinet resigned en masse in protest against the government's handling of the worst economic crisis to hit the island in decades, which has sparked widespread rioting, unrest, and arson attacks on police property.;2022-04-08
79;CIMBT expects conflict to dent GDP growth prospects;['BUSINESS'];Business;» The Thai economy is expected to continue to rebound in the second quarter amid inflationary pressure, but the growth rate for the full year will be lower than previously forecast because of the Russia-Ukraine war, says a CIMB Thai Bank (CIMBT) economist.;2022-04-08
80;Southern Thai goes North;['LIFE'];Guru;» Considering the West's obsession with Thai food, feeling at home is a mere tube ride away (Tottenham Court Road) when holidaying in London. Opening on April 22, in Arcade Food Hall Centrepoint on Oxford Street is Plaza: Raan Khao Gaeng, Luke Farrell's debut with JKS Restaurants.;2022-04-08
81;BoI okays new incentives for EV charging stations;['BUSINESS'];Business;» The Board of Investment (BoI) approved enhanced incentives and conditions on Thursday for investments in charging stations for electric vehicles (EV), a move to accelerate the growth of the domestic EV market and quickly expand related infrastructure.;2022-04-08
82;Infrastructure plays critical role in recovery;['OPINION'];Oped;» Physical infrastructure has a critical role to play in supporting the post-pandemic recovery and in laying the longer-term foundations for green, resilient and inclusive development. A growing body of evidence highlights its contribution to a wide range of development indicators, including employment, income and productivity.;2022-04-08
83;Levi Strauss decides to go it alone in Thailand;['BUSINESS'];Business;» Levi Strauss & Co, the trademark owner of Levi's denim, has established its own operation in Thailand after a 25-year distribution contract with DKSH ended last month, allowing the brand to connect directly with Thai aficionados.;2022-04-08
84;Virtual real estate metaverse to be explored;['BUSINESS'];Business;» Property developer Magnolia Quality Development Corporation (MQDC) is working with global professional service provider Accenture to create a metaverse for virtual real estate to explore new opportunities in this emerging digital frontier.;2022-04-08
85;Ratchanon, Nuutinen turn on the magic;['SPORTS'];Sports;"» PATTAYA: Thailand's Ratchanon ""TK"" Chantananuwat started this week by saying he was short of practice because he was busy with his studies but that certainly did not show on Thursday as the irrepressible 15-year-old amateur star shot a nine-under-par 63 to take a share of the lead in the inaugural Asian Mixed Cup.";2022-04-08
86;Arkhom eyes stable budget spending;['BUSINESS'];Business;» The government has not overspent its budget and is trying to reduce the budget deficit to maintain fiscal stability, says Finance Minister Arkhom Termpittayapaisith.;2022-04-08
87;Ketanji Brown Jackson becomes first Black woman confirmed to US Supreme Court;['WORLD'];AFP;» WASHINGTON - The United States made history on Thursday as the Senate confirmed Ketanji Brown Jackson as the first Black woman ever to serve on the Supreme Court.;2022-04-08
88;Trailblazing US jurist Ketanji Brown Jackson has seen real impact of the law;['WORLD'];AFP;» WASHINGTON - Ketanji Brown Jackson does not have the background typical of US Supreme Court judges, and not just because she will be first Black woman ever to serve at the pinnacle of the legal profession.;2022-04-08
89;Your horoscope for Apr 8-14;['LIFE'];Guru;» Your spot-on horoscope for work, money, couples & singles from the Bangkok Post's famously accurate fortune teller. Let's see how will you fare this week & beyond!;2022-04-08
90;Sri Lanka asks experts to plan debt restructure as protests rage;['WORLD'];AFP;» COLOMBO - Sri Lanka's president has appointed a panel of experts to organise a restructuring of foreign debt as he seeks a way out of a worsening economic crisis, with protests demanding his resignation escalating.;2022-04-07
91;Pakistan court says parliament must reconvene, orders PM no-confidence vote;['WORLD'];AFP;» ISLAMABAD - Pakistan's Supreme Court ruled Thursday that the national assembly had been illegally dissolved, and ordered parliament to reconvene to hold a no-confidence vote that will likely see Prime Minister Imran Khan booted from office.;2022-04-07
92;Woods tees off in improbable quest for sixth Masters title;['SPORTS'];AFP;» AUGUSTA: Tiger Woods launched his improbable quest for a record-equalling sixth Masters title on Thursday, 14 months after a rollover car crash left him with injuries so severe he feared he would lose his right leg.;2022-04-07
93;Two thirds of Africans have Covid-19 since pandemic;['WORLD'];Reuters;» JOHANNESBURG: More than two thirds of Africans have been infected by Covid-19 since the pandemic started, 97 times more than reported confirmed cases, according to a World Health Organization (WHO) study published on Thursday.;2022-04-07
94;Uefa: New financial rules for football clubs;['SPORTS'];Reuters;"» MANCHESTER: The executive committee of the Union of European Football Associations (Uefa) has approved new ""sustainability regulations"" to replace the previous Financial Fair Play system, Uefa President Aleksander Ceferin said on Thursday.";2022-04-07
95;Investing in Thailand’s Future through Education;['THAILAND'];;» The American Chamber of Commerce in Thailand Foundation (ATF) recently announced the opening of scholarship applications for 2022. Each year, the ATF selects deserving Thai university students to complete their university studies through targeted scholarships. This year the ATF has a goal of providing 65 scholarships to deserving students.;2022-04-07
96;Siam Validus and SCG partnership set to support growth of Thai SMEs while providing investors with alternative high-yield investment via Crowdfunding;['THAILAND'];;» Siam Validus partners with SCG and aims to drive financial inclusion for underserved Thai SMEs, enabling SMEs to raise funds for their business without collateral via Siam Validus crowdfunding platform.;2022-04-07
97;House panel to consider petition in PM's aide misconduct;['THAILAND'];;» The House committee on corruption and misconduct prevention and suppression on Thursday agreed to look into a petition requesting an investigation into alleged misconduct by Seksakol Atthawong, an aide to Prime Minister Prayut Chan-o-cha.;2022-04-07
98;Australia, Myanmar junta meeting 'unacceptable': HRW;['WORLD'];AFP;"» Human Rights Watch on Thursday slammed a meeting between Australia's ambassador to Myanmar and the military junta chief, saying it was ""lending credibility"" to a regime accused of war crimes.";2022-04-07
99;New routes viewed for fresh fruit exports to China;['THAILAND'];;» Trade officials in Nakhon Phanom are negotiating to speed up fruit exports through Laos to China, which are being held up by Covid-19 controls.;2022-04-07
100;Vietnamese automaker VinFast files for US IPO to fund expansion;['BUSINESS'];Reuters;» HAIPHONG: Vietnamese automaker VinFast said on Thursday its Singapore-based holding company had filed for an initial public offering (IPO) of the group with US securities regulators, as it plans US$4 billion spending on its first US factory complex.;2022-04-07
101;Junta-appointed Myanmar central bank deputy head shot;['WORLD'];Reuters;» The deputy governor of Myanmar's central bank was shot and wounded in her home in the commercial capital Yangon on Thursday, a junta spokesman told AFP, in the latest high-profile attack on military-linked officials.;2022-04-07
102;Thailand mulls easing Covid test rules for overseas visitors;['BUSINESS'];Bloomberg News;» Thailand will consider scrapping a mandatory real-time polymerase chain reaction (RT-PCR) test on arrival for foreign visitors as the country further relaxes its visa rules to attract tourists.;2022-04-07
103;Chao Sua launches ‘Chao Sua Mini Rice Cracker’ and unveils 2022 strategy targeting 20% growth;['THAILAND'];;» Chao Sua reaffirms its market leader position among the processed meats sector with its 2022 business plan to drive full steam ahead to gain market share. The strategy includes launching “Chao Sua Mini Rice Cracker” bite-size rice crackers in three flavours targeting new generation customers and responding to the fast-growing segment of customers seeking healthy and nutritious snacks with confidence in 20% growth for 2022.;2022-04-07
104;"Thailand BOI Approves Enhanced Measure to Boost EV Sector; Reports 110.7 Billion Baht in Investment Applications in Q1";['BUSINESS'];;» In line with the Thai government’s policy to accelerate the growth of the domestic market for electric vehicles (EV) and help to quickly expand the related infrastructure, especially charging stations, the Thailand Board of Investment (BOI) today approved revised incentives and conditions for investments in that sector.;2022-04-07
105;France summons Russian envoy over 'obscene' Bucha tweet;['WORLD'];Reuters;"» The French government on Thursday summoned Russia's ambassador to Paris for talks after his embassy posted a photo on Twitter claiming to show a ""film set"" by Ukrainians staging civilian killings in Bucha that have stoked global outrage.";2022-04-07
106;Crane arm breaks, city construction worker killed;['THAILAND'];Online Reporters;» A crane arm broke and fell at a construction site near a shopping mall in downtown Bangkok on Thursday afternoon, killing one worker and injuring another.;2022-04-07
107;Thai industries confidence at 2-year high as activity recovers;['BUSINESS'];Reuters;» Thailand's industries sentiment in March reached a 25-month high, bolstered by a recovery in economic activity as Covid-19 restrictions were eased, an industries group said on Thursday.;2022-04-07
108;Ratch to fund Indonesian expansion through investment by Egat;['BUSINESS'];;» State-run Electricity Generating Authority of Thailand (Egat) will inject 11.25 billion baht into its subsidiary SET-listed Ratch Group Plc, Thailand's largest private power generation firm by capacity, to increase registered capital and expand investment in Indonesia, a populous country with high energy demand.;2022-04-07
109;MQDC engages Accenture to create its Metaverse;['THAILAND'];;» MQDC gears up for a new journey, committing to delivering limitless experiences beyond real estate development;2022-04-07
110;BoI approves enhanced incentives to boost EV use;['BUSINESS'];Reuters;» Thailand has expanded incentives to boost the use of electric vehicles (EVs), the Board of Investment said on Thursday, as the country looks to preserve its status as a major Southeast Asian auto production hub.;2022-04-07
111;Norwegian diver found safe off Malaysia, search for 3 others continues;['WORLD'];Reuters;» KUALA LUMPUR: A Norwegian woman who disappeared while diving off Malaysia's southeastern coast was found safe on Thursday, maritime officials said, as a search continued for three other missing people.;2022-04-07
112;MP Pareena banned from politics for life;['ADVANCED NEWS'];Gary Boyle;» The Supreme Court ruled on Thursday to ban Palang Pracharath MP Pareena Kraikupt from politics for life over her use of land in a forest reserve in her home province of Ratchaburi.;2022-04-07
113;Illegal job seekers, driver caught in Chiang Mai;['THAILAND'];;» CHIANG MAI: A driver hired to smuggle illegal migrants was arrested and 10 Myanmar job seekers he had hidden in a forest nearby were later caught, in Omkoi district on Thursday.;2022-04-07
114;Palang Pracharath MP Pareena banned from politics for life;['THAILAND'];Online Reporters;» The Supreme Court ruled on Thursday to ban Palang Pracharath MP Pareena Kraikupt from politics for life over her use of land in a forest reserve in her home province of Ratchaburi.;2022-04-07
115;Central Pattana joins hands with TAT to host ‘THAILAND’s SONGKRAN FESTIVAL 2022’;['THAILAND'];;» Traditional Thai Songkran culture takes a new turn at Central shopping centres nationwide from 7 to 17 April 2022;2022-04-07
116;Tropical Fruits Afternoon Tea at Tuxedo Espresso Bar, Carlton Hotel Bangkok Sukhumvit;['THAILAND'];;» Tuxedo Espresso Bar at Carlton Hotel Bangkok Sukhumvit welcomes the summer season with an Afternoon Tea inspired by tropical fruits.;2022-04-07
117;The metaverse threat, 'TV will die with its audience';['WORLD'];AFP;» CANNES, France: TV companies will need to radically adapt to the fast-evolving world of online entertainment if they hope to survive, experts have warned.;2022-04-07
118;Civilians try to flee east Ukraine as Russia prepares attack;['WORLD'];AFP;» SEVERODONETSK, Ukraine: Desperate evacuation attempts from eastern Ukraine were under way Thursday as authorities warned of an imminent Russian offensive, following the devastation around Kyiv that has shocked the world.;2022-04-07
119;Explore beauty of Canada & Thailand at Iconsiam;['THAILAND'];;» It is a special honour for The Embassy of Canada to Thailand and ICONSIAM to host this year’s Take Your Seat Together photo exhibition at IconLuxe gallery in ICONSIAM to welcome the upcoming Thai new year festival, Songkran.;2022-04-07
